Data_Hora,IdTweet,Tweet,Tweet_limpo,Candidato,Sentimento_Final
2022-08-01 19:41:42+00:00,1554190656221970439,"@PedroRonchi2 Peraí. ....e a dinheirama desviada da Petrobrás? E o monte de gente envolvida no petrolão? E a chácara em mairiporã? E o apto no Guarujá? E o monte de dinheiro com vacari circulando na mochila?  Pt e lula não são inocentes, porém parece ser o único tira bozo"," peraí. ....e a dinheirama desviada da petrobrás? e o monte de gente envolvida no petrolão? e a chácara em mairiporã? e o apto no guarujá? e o monte de dinheiro com vacari circulando na mochila?  pt e lula não são inocentes, porém parece ser o único tira bozo",Lula,Negativo
2022-08-01 19:41:40+00:00,1554190648038891520,@LulaOficial @gioewbank @brunogagliasso Jumento você esqueceu de dizer que os insultos racistas foram feitos exactamente por uma brasileira a outros brasileiros em Portugal. Mas confessa la - você odeia pobre e preto só não pode dizer porque perde votos,   jumento você esqueceu de dizer que os insultos racistas foram feitos exactamente por uma brasileira a outros brasileiros em portugal. mas confessa la - você odeia pobre e preto só não pode dizer porque perde votos,Lula,Neutro
2022-08-01 19:41:39+00:00,1554190644767342595,"@ECantanhede Enquanto tiver eleitor do Lula e bobos q compram mandioca cozida com sal a 31 pilas, a malandragem não acabará."," enquanto tiver eleitor do lula e bobos q compram mandioca cozida com sal a 31 pilas, a malandragem não acabará.",Lula,Neutro
2022-08-01 19:41:36+00:00,1554190630938677251,@xpinvestimentos O futuro é pra quem não cair nas falácias da XP. São apoiadores do Lula., o futuro é pra quem não cair nas falácias da xp. são apoiadores do lula.,Lula,Positivo
2022-08-01 19:41:36+00:00,1554190630837952520,"@LulaOficial Excelência:proponha um bolsa família de R$1000,00 a ser debatido pelo congresso;mesmo sendo insuficiente é razoável sua aprovação abraço!"," excelência:proponha um bolsa família de r$1000,00 a ser debatido pelo congresso;mesmo sendo insuficiente é razoável sua aprovação abraço!",Lula,Neutro
2022-08-01 19:41:35+00:00,1554190627822247938,@LulaOficial @ricardostuckert #LulaeoPTQuerDistruiroBrasil https://t.co/urfYWZJNpH,   ,Lula,Neutro
2022-08-01 19:41:33+00:00,1554190616648720384,VEJA O QUE ACONTECEU! LULA VIU ISSO E ENTROU EM DESESPERO! MULTIDÃO CONT... https://t.co/2r8QLK1hHr via @YouTube,veja o que aconteceu! lula viu isso e entrou em desespero! multidão cont...  via ,Lula,Neutro
2022-08-01 19:41:30+00:00,1554190606909509634,@JanjaLula @inst_lula @GugaNoblat @BlogdoNoblat https://t.co/on1buamfoU,    ,Lula,Neutro
2022-08-01 19:41:30+00:00,1554190604212621321,"@PedroRonchi2 Faltou foi verdade. Quem destruiu países foram os governantes apoiados pela esquerda, vide Argentina e Venezuela. 

Lula foi ""descondenado"" com alegação de que foi julgado em um Estado diferente. NUNCA foi inocentado. 

Falta consciência para quem ignora os roubos e apoia o PT."," faltou foi verdade. quem destruiu países foram os governantes apoiados pela esquerda, vide argentina e venezuela. lula foi ""descondenado"" com alegação de que foi julgado em um estado diferente. nunca foi inocentado. falta consciência para quem ignora os roubos e apoia o pt.",Lula,Neutro
2022-08-01 19:41:29+00:00,1554190601418973185,"@LulaOficial URFJ só filhotes do PT,"," urfj só filhotes do pt,",Lula,Neutro
2022-08-01 19:41:28+00:00,1554190595333279744,Nem dou mais ideia pra esquerdista. Tenho minhas conclusões prontas. LIBERDADE não combina com socialismo ou comunismo. DEMOCRACIA não combina com DEMONIOCRACIA. Meu voto foi e será novamente do BOLSONARO 22. Lula é amigo e parceiro de presidentes comunistas. https://t.co/xIZ1brgQaW,nem dou mais ideia pra esquerdista. tenho minhas conclusões prontas. liberdade não combina com socialismo ou comunismo. democracia não combina com demoniocracia. meu voto foi e será novamente do bolsonaro 22. lula é amigo e parceiro de presidentes comunistas. ,Lula,Neutro
2022-08-01 19:41:27+00:00,1554190594267807744,"@BatystaLukas @LulaOficial Preso, LADRÃOOOOOOOOOOOOOOOoooooo https://t.co/6YBCV4Vsby","  preso, ladrãooooooooooooooooooooo ",Lula,Neutro
2022-08-01 19:41:27+00:00,1554190591705104385,@LulaOficial Porque o senhor não fez isso quando teve chance então? Pare de dizer o que você quê fazer e nos explique porque não fez!, porque o senhor não fez isso quando teve chance então? pare de dizer o que você quê fazer e nos explique porque não fez!,Lula,Positivo
2022-08-01 19:41:27+00:00,1554190591583551493,"@LulaOficial Moro em Teresina. Sua estadia aqui não é bem vinda. Mas a bolha petista já disponibilizou dezenas de ônibus do interior dando lanche e migalhas para comparecerem.
O povo livre estará neste dia recolhido com medo dessa quadrilha que estará aqui.", moro em teresina. sua estadia aqui não é bem vinda. mas a bolha petista já disponibilizou dezenas de ônibus do interior dando lanche e migalhas para comparecerem.o povo livre estará neste dia recolhido com medo dessa quadrilha que estará aqui.,Lula,Neutro
2022-08-01 19:41:25+00:00,1554190584847503360,@nilsonnoslinho1 @LulaOficial O problema é que você não colocou ao contrário roubou de todos os Brasileiro @LULALADRÃO,  o problema é que você não colocou ao contrário roubou de todos os brasileiro ,Lula,Neutro
